,cos_sim
0,0.9847243428230286
1,0.9746757745742798
2,0.9665917158126831
3,0.9555673003196716
4,0.9444790482521057
5,0.9298421144485474
6,0.9059402942657471
7,0.9080313444137573
8,0.907324492931366
9,0.9040676355361938
10,0.8951416611671448
11,0.8813903331756592
12,0.8772651553153992
13,0.8754437565803528
14,0.8755297660827637
15,0.8722918033599854
16,0.8952739238739014
17,0.8807490468025208
18,0.8750605583190918
19,0.8755695819854736
20,0.8712015151977539
21,0.8715524077415466
22,0.8704099655151367
23,0.8655422329902649
24,0.8688544631004333
25,0.8711553812026978