,cos_sim
0,0.07660136371850967
1,0.4165724217891693
2,0.42651283740997314
3,0.20666301250457764
4,0.44931599497795105
5,0.09277144074440002
6,0.2693914473056793
7,0.15594299137592316
8,0.16203229129314423
9,0.10871897637844086
10,0.13162142038345337
11,0.11248800903558731
12,0.17022760212421417
13,0.12575820088386536
14,0.20885980129241943
15,0.17856813967227936
16,0.1642025113105774
17,0.18132711946964264
18,0.1769644170999527
19,0.17762698233127594
20,0.1533484011888504
21,0.11309681087732315
22,0.15278556942939758
23,0.1273815929889679
24,0.2819202244281769
25,0.29472848773002625